facility_name,status,open,hours_of_operation,accessibility,restroom_type,changing_stations,additional_notes,website,latitude,longitude,location_1
"McKinley Park Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/dyker,40.629196,-74.011839,POINT (-74.011839 40.629196)
"Flushing Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.queenslibrary.org/about-us/locations/flushing,40.757782,-73.828886,POINT (-73.828886 40.757782)
Anne Loftus Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.86512,-73.929484,POINT (-73.929484 40.86512)
Travers Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.754374,-73.889478,POINT (-73.889478 40.754374)
McCarren Park Zone 3,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.722025,-73.951842,POINT (-73.951842 40.722025)
"East Flushing Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/east-flushing,40.757554,-73.784304,POINT (-73.784304 40.757554)
"George Bruce Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 12:00 pm - 7:00 pm 
Tuesday: 12:00 pm - 7:00 pm 
Wednesday: 12:00 pm - 7:00 pm 
Thursday: 12:00 pm - 7:00 pm 
Friday: 11:00 am - 6:00 pm 
Saturday: 11:00 am - 6:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/george-bruce,40.813777,-73.957055,POINT (-73.957055 40.813777)
Seth Low Playground/ Bealin Square,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.608262,-73.986506,POINT (-73.986506 40.608262)
Howard Bennett Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.813698,-73.938957,POINT (-73.938957 40.813698)
"Cypress Hills Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/cypress-hills,40.672716,-73.874036,POINT (-73.874036 40.672716)
Red Hook Park Zone 3,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.67277,-74.007817,POINT (-74.007817 40.67277)
Woodlawn Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.899927,-73.87225,POINT (-73.87225 40.899927)
Lemon Creek Park Marina,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.515281,-74.20115,POINT (-74.20115 40.515281)
Lieutenant John H. Martinson Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.537194,-74.162407,POINT (-74.162407 40.537194)
"Yorkville Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/yorkville,40.773664,-73.956374,POINT (-73.956374 40.773664)
Audubon Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.841674,-73.937926,POINT (-73.937926 40.841674)
Macombs Dam Park Zone 1 Upper,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.828376,-73.929751,POINT (-73.929751 40.828376)
"South Hollis Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/south-hollis,40.707012,-73.753799,POINT (-73.753799 40.707012)
"Clason's Point Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/clasons-point,40.830001,-73.875022,POINT (-73.875022 40.830001)
Yolanda García Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.822886,-73.913911,POINT (-73.913911 40.822886)
Century Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.577018,-73.970246,POINT (-73.970246 40.577018)
Park,1,Year Round,,NA,NA,NA,,,40.730899,-73.925415,POINT (-73.925415 40.730899)
Telephone Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.738603,-73.756571,POINT (-73.756571 40.738603)
Alley Athletic Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.739995,-73.734204,POINT (-73.734204 40.739995)
St Mary's Playground West,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.81286,-73.913424,POINT (-73.913424 40.81286)
Macombs Dam Park Zone 2 Lower,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.827497,-73.928379,POINT (-73.928379 40.827497)
Jesse Owens Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.691638,-73.932459,POINT (-73.932459 40.691638)
Evelina Antonetty Playground,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.817275,-73.928439,POINT (-73.928439 40.817275)
Hudson River Park Pier 51,1,Year Round,7:30am - 8pm,Fully Accessible,NA,NA,,,40.737997,-74.010384,POINT (-74.010384 40.737997)
Bathgate Playground,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.840512,-73.897758,POINT (-73.897758 40.840512)
Calvert Vaux Park Zone 2,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.58528,-73.992002,POINT (-73.992002 40.58528)
Moynihan Connector,1,Year Round,,NA,NA,NA,,,40.752417,-73.99929,POINT (-73.99929 40.752417)
Tavern On The Green,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.772206,-73.977781,POINT (-73.977781 40.772206)
Washington Square Park Western Half,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.73075,-73.998309,POINT (-73.998309 40.73075)
Police Officer Nicholas Demutiis Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.681843,-73.839676,POINT (-73.839676 40.681843)
Willis Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.811357,-73.922689,POINT (-73.922689 40.811357)
Playground For All Children,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.848472,-73.825274,POINT (-73.825274 40.848472)
"Roosevelt Island Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/roosevelt-island,40.762333,-73.949446,POINT (-73.949446 40.762333)
"Gravesend Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/gravesend,40.590553,-73.97181,POINT (-73.97181 40.590553)
Corona Plaza APT,1,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,This unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.74965,-73.862638,POINT (-73.862638 40.74965)
Bensonhurst Park,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.597869,-74.000003,POINT (-74.000003 40.597869)
Inwood Hill Park Zone 1,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.870299,-73.921423,POINT (-73.921423 40.870299)
"Mill Basin Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/mill-basin,40.619877,-73.917023,POINT (-73.917023 40.619877)
Kolbert Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.620351,-73.958039,POINT (-73.958039 40.620351)
"Bayside Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/bayside,40.760134,-73.768363,POINT (-73.768363 40.760134)
Delphin H. Greene Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.684651,-73.728665,POINT (-73.728665 40.684651)
Lincoln Road Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.660477,-73.9636,POINT (-73.9636 40.660477)
"Hudson Park Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm   
Wednesday: 10:00 am - 6:00 pm    
Thursday: 10:00 am - 6:00 pm    
Friday: 10:00 am - 6:00 pm  
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),Yes,,https://nypl.org/locations/hudson-park,40.729991,-74.005332,POINT (-74.005332 40.729991)
"Stone Avenue Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/stone-avenue,40.664508,-73.905251,POINT (-73.905251 40.664508)
Electric Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.735772,-73.80542,POINT (-73.80542 40.735772)
The Big Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.630958,-74.165052,POINT (-74.165052 40.630958)
"Huguenot Park Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 10:00 am - 6:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/huguenot-park,40.534087,-74.19323,POINT (-74.19323 40.534087)
Richman (Echo) Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.849578,-73.902072,POINT (-73.902072 40.849578)
MacArthur Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.752407,-73.965036,POINT (-73.965036 40.752407)
"Parkchester Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 pm - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 pm - 8:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/parkchester,40.833789,-73.858351,POINT (-73.858351 40.833789)
Van Cortlandt Stables Area,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.900927,-73.892657,POINT (-73.892657 40.900927)
"Rosedale Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/rosedale,40.659972,-73.739912,POINT (-73.739912 40.659972)
Matthews Muliner Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.846939,-73.861512,POINT (-73.861512 40.846939)
Roy Wilkins Rec Center Zone 2A,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.687662,-73.772534,POINT (-73.772534 40.687662)
Hattie Carthan Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.685617,-73.946383,POINT (-73.946383 40.685617)
Alley Pond Indoor Tennis,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.739347,-73.735835,POINT (-73.735835 40.739347)
"Woodlawn Heights Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/woodlawn-heights,40.900448,-73.867943,POINT (-73.867943 40.900448)
Heckscher Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.695101,-73.91863,POINT (-73.91863 40.695101)
Frawleys' Run,1,Year Round,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.797071,-73.951458,POINT (-73.951458 40.797071)
McCarren Park Zone 1,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.720771,-73.950071,POINT (-73.950071 40.720771)
Susan Smith McKinney Steward Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.700773,-73.985472,POINT (-73.985472 40.700773)
Newport Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.660939,-73.906868,POINT (-73.906868 40.660939)
Brookville Park Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.662186,-73.742205,POINT (-73.742205 40.662186)
Mott Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.831269,-73.914754,POINT (-73.914754 40.831269)
Sheep Meadow,1,Year Round,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.773046,-73.974392,POINT (-73.974392 40.773046)
Caserta Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.837492,-73.853834,POINT (-73.853834 40.837492)
Marc And Jason's Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.66349,-73.949905,POINT (-73.949905 40.66349)
Pfc Norton Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.614571,-73.944785,POINT (-73.944785 40.614571)
L/CPL Thomas P. Noonan Jr. Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.741077,-73.922385,POINT (-73.922385 40.741077)
"Midwood Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/midwood,40.625902,-73.960316,POINT (-73.960316 40.625902)
Bushwick Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.69608,-73.911967,POINT (-73.911967 40.69608)
Flushing Meadows Grand Bay,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.761118,-73.857545,POINT (-73.857545 40.761118)
Washington Park,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.672998,-73.984618,POINT (-73.984618 40.672998)
East Springfield Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.698689,-73.739928,POINT (-73.739928 40.698689)
Baisley Pond Park Zone 1,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.681399,-73.787225,POINT (-73.787225 40.681399)
180 Maiden Lane POPS,1,Year Round,Monday to Saturday:  8:30 am-10:00 pm; Sundays: 10:00 am-7:00 pm.,Fully Accessible,Single-Stall All Gender Restroom(s),No,,,40.705277,-74.005516,POINT (-74.005516 40.705277)
Belvedere Castle,1,Year Round,6am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.780427,-73.969136,POINT (-73.969136 40.780427)
Randall's Island Stadium Area,1,Year Round,"Fall, spring summer: 7am - 9pm. Winter: 7am - 5:30pm",NA,NA,NA,,,40.792889,-73.924709,POINT (-73.924709 40.792889)
De Matti Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.614748,-74.07392,POINT (-74.07392 40.614748)
Jennifer's Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.620343,-74.163512,POINT (-74.163512 40.620343)
Randall Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.819271,-73.849747,POINT (-73.849747 40.819271)
Glenwood Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.636661,-73.920089,POINT (-73.920089 40.636661)
Barretto Point Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.805908,-73.888623,POINT (-73.888623 40.805908)
Beach 59th St. Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.588896,-73.789057,POINT (-73.789057 40.588896)
"Sheepshead Bay Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Multi-Stall W/M Restrooms,No,,https://www.bklynlibrary.org/locations/sheepshead-bay,40.587022,-73.955375,POINT (-73.955375 40.587022)
Marcus Garvey Park Zone 1,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.804613,-73.944797,POINT (-73.944797 40.804613)
Hoffman Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.732977,-73.871532,POINT (-73.871532 40.732977)
Nelson Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.835032,-73.926583,POINT (-73.926583 40.835032)
Neufeld Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.783442,-73.984781,POINT (-73.984781 40.783442)
"Woodside Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/woodside,40.74535,-73.909795,POINT (-73.909795 40.74535)
"53rd Street Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am - 6:00 pm 
Thursday: 11:00 am - 6:00 pm 
Friday: 11:00 am - 6:00 pm 
Saturday: 11:00 am - 6:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,https://www.nypl.org/locations/53rd-street,40.760815,-73.977365,POINT (-73.977365 40.760815)
"Windsor Terrace Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/windsor-terrace,40.648758,-73.97676,POINT (-73.97676 40.648758)
"Queens Village Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/queens-village,40.719897,-73.73905,POINT (-73.73905 40.719897)
Sternberg Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.705859,-73.947175,POINT (-73.947175 40.705859)
Anibal Aviles Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.801194,-73.962848,POINT (-73.962848 40.801194)
The Ramble,1,Year Round,7am - dusk,Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.778409,-73.967692,POINT (-73.967692 40.778409)
Surf Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.573673,-73.99269,POINT (-73.99269 40.573673)
Bufano Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.838017,-73.831002,POINT (-73.831002 40.838017)
Old Town Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.595492,-74.081495,POINT (-74.081495 40.595492)
"Allerton Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/allerton,40.866813,-73.863224,POINT (-73.863224 40.866813)
Greeley Square Park,1,Year Round,8am-9pm,Fully Accessible,Multi-Stall All Gender Restrooms,NA,,,40.748533,-73.98846,POINT (-73.98846 40.748533)
Linden Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.658259,-73.88747,POINT (-73.88747 40.658259)
Stroud Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.67499,-73.962244,POINT (-73.962244 40.67499)
"Kew Gardens Hills Library, QPL",1,Year Round,"Sunday: 12:00 pm - 5:00 pm 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: Closed",NA,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/kew-gardens-hills,40.725957,-73.820759,POINT (-73.820759 40.725957)
"Westchester Square Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/westchester-square,40.840876,-73.846732,POINT (-73.846732 40.840876)
Crocheron Park Zone 1,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.772053,-73.769363,POINT (-73.769363 40.772053)
Canarsie Park Zone 5,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.635988,-73.883204,POINT (-73.883204 40.635988)
"Martin Luther King, Jr. Playground",1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.800334,-73.950318,POINT (-73.950318 40.800334)
Webster Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.859524,-73.892932,POINT (-73.892932 40.859524)
Carroll Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.680873,-73.994773,POINT (-73.994773 40.680873)
